HIT Index,HIT ID,HITType ID,Document Names
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,question-mission12-agent0,question-mission85-agent0,question-mission26-agent0,question-mission74-agent2
1,3UOMW19E6F518NJY6THRKC1Y1RRC5M,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,question-mission13-agent0,question-mission95-agent0,question-mission75-agent0,question-mission54-agent0
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,question-mission24-agent0,question-mission94-agent0,question-mission37-agent0,question-mission10-agent0
3,36QZ6V158BCY0JY94GFZ7TXWMBBSUJ,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,question-mission25-agent2,question-mission82-agent0,question-mission52-agent7,question-mission11-agent0
4,3CRWSLD91M30PJ17OX74WE61C40MOR,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,question-mission34-agent1,question-mission84-agent0,question-mission14-agent0,question-mission48-agent6
5,3ABAOCJ4RA33AVEN3AZ8LJ11R5KMQ1,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,question-mission35-agent0,question-mission92-agent0,question-mission15-agent0,question-mission31-agent6
6,32XN26MTX1IVGKR3M04E60VUEYU0LH,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,question-mission45-agent7,question-mission81-agent0,question-mission69-agent0,question-mission5-agent0
7,33N1S8XHHOKFSYTPXKZNSKP2YZH1ZD,3KBQBQZF8CA1Y9D20MZVW39H5RCAPY,question-mission46-agent7,question-mission91-agent1,question-mission63-agent8,question-mission64-agent1
8,3Y40HMYLL3H6W0K8YQLM61EO1ZMXUN,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,question-mission56-agent0,question-mission83-agent1,question-mission79-agent0,question-mission8-agent0
9,302OLP89D16YETVF1P88SNHKTEBACR,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,question-mission57-agent0,question-mission93-agent0,question-mission47-agent6,question-mission6-agent1
10,3KI0JD2ZU3HRFAOGKVJLWWNKWL867K,35I9CFS6VKZCBHEHSVIUFVSJRZI5ID,question-mission58-agent4,question-mission88-agent1,question-mission41-agent0,question-mission65-agent2
11,3B286OTISGGLM71LBHPUFRUFJZDJA9,3I39O3TFTXWRTAHP8BAX3GHA6488JU,question-mission59-agent4,question-mission80-agent0,question-mission42-agent7,question-mission66-agent0
12,3Y3CZJSZ9MS5EP8HOQ7M970K1455RK,3I39O3TFTXWRTAHP8BAX3GHA6488JU,question-mission67-agent2,question-mission87-agent1,question-mission43-agent0,question-mission3-agent3
13,38RHULDV90EMY9KIU40MLFC6Y9EWIK,3I39O3TFTXWRTAHP8BAX3GHA6488JU,question-mission68-agent0,question-mission90-agent1,question-mission20-agent3,question-mission44-agent6
14,3L2OEKSTWB9XY8350J6JTN386LP8Y3,3I39O3TFTXWRTAHP8BAX3GHA6488JU,question-mission78-agent2,question-mission86-agent1,question-mission7-agent0,question-mission32-agent0
15,37NXA7GVSV5B9LSJPXS3RTLK85HVL0,3I39O3TFTXWRTAHP8BAX3GHA6488JU,question-mission9-agent1,question-mission89-agent0,question-mission23-agent0,question-mission36-agent6
