HIT ID,HITType ID,Document Names
3H6W48L9F6OEFV7M7ZQ6UCDIJPTPWC,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission59-agent4,question-mission80-agent0,question-mission42-agent7,question-mission66-agent0
3SU800BH88RMN3JWCCQUCTIV354UQ9,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission45-agent7,question-mission81-agent0,question-mission69-agent0,question-mission5-agent0
3U18MJKL1WL5YCP4ATDDET1KRUANC5,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission25-agent2,question-mission82-agent0,question-mission52-agent7,question-mission11-agent0
3NOEP8XAU61T4VCCH4MSWVRPSRZPX5,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission56-agent0,question-mission83-agent1,question-mission79-agent0,question-mission8-agent0
3TFJJUELSJO99Q0BOAFTM5YMGZK2CU,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission34-agent1,question-mission84-agent0,question-mission14-agent0,question-mission48-agent6
36BTXXLZ2X7NI64HALOC4FU60EJ4RY,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission12-agent0,question-mission85-agent0,question-mission26-agent0,question-mission74-agent2
367O8HRHKI7ZJL4UPAOHUPZ2MG24SM,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission78-agent2,question-mission86-agent1,question-mission7-agent0,question-mission32-agent0
3VEI3XUCZTW97ZQ085G07D51RAERPB,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission67-agent2,question-mission87-agent1,question-mission43-agent0,question-mission3-agent3
36U4VBVNQQCMZ4YWPRFUHJS0ZR6URA,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission58-agent4,question-mission88-agent1,question-mission41-agent0,question-mission65-agent2
322ZSN9Z5IJ0YLH9EAT74UVOOZG4TB,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission9-agent1,question-mission89-agent0,question-mission23-agent0,question-mission36-agent6
3P458N04Q3GXCOB6F6BG0IJWHH7X2Q,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission68-agent0,question-mission90-agent1,question-mission20-agent3,question-mission44-agent6
3SNR5F7R94SSH9YR946GZ956Q7TIED,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission46-agent7,question-mission91-agent1,question-mission63-agent8,question-mission64-agent1
3JMQI2OLF14F34VIAP8OYZJ2CUMND5,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission35-agent0,question-mission92-agent0,question-mission15-agent0,question-mission31-agent6
36QZ6V158BCY0JY94GFZ7TXWLTPUSY,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission57-agent0,question-mission93-agent0,question-mission47-agent6,question-mission6-agent1
3XDJY5RK5UKFYYWYEFJH9QHQ7DN4U2,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission24-agent0,question-mission94-agent0,question-mission37-agent0,question-mission10-agent0
31SIZS5W5BEU7BRF8IVP7IVBW60RQ2,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,question-mission13-agent0,question-mission95-agent0,question-mission75-agent0,question-mission54-agent0
